# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
wo hao xiang 	我好想	c=1 d=1 t=3460
wo he 	我和	c=2 d=0.913931 t=12432
wo hui 	我會	c=1 d=0.110803 t=12432
wo ji de 	我記得	c=4 d=0.718924 t=12432
wo ji hu 	我幾乎	c=2 d=1.53526 t=9287
wo jia ni 	我加你	c=1 d=1 t=10766
wo jian yi 	我建議	c=2 d=0.0403566 t=12432
wo jin liang 	我儘量	c=3 d=0.129738 t=12432
wo jiu 	我就	c=15 d=0.822068 t=12432
wo ju ran 	我居然	c=1 d=1 t=1266
wo jue 	我覺	c=1 d=1 t=4567
wo jue de 	我覺得	c=2 d=1.31192 t=3644
wo kan jian 	我看見	c=2 d=1 t=7490
wo kan kan 	我看看	c=2 d=1.3396 t=4216
wo kang kang 	我康康	c=1 d=1 t=3354
wo kao 	我靠	c=2 d=0.982443 t=12432
wo ke neng 	我可能	c=1 d=1 t=6316
wo ke yi 	我可以	c=4 d=0.139457 t=12432
wo kua 	我跨	c=2 d=1.0008 t=7531
wo lan 	我懶	c=3 d=1 t=10386
wo lan de 	我懶得	c=2 d=0.748264 t=12432
wo lian 	我連	c=1 d=1 t=5269
wo mai 	我買	c=1 d=1 t=9435
wo mao si 	我貌似	c=1 d=1 t=11400
wo mei 	我沒	c=3 d=1 t=11906
wo mei you 	我沒有	c=2 d=1 t=9966
wo mei zuo 	我沒做	c=1 d=0.148823 t=12432
wo men 	我們	c=14 d=0.208746 t=12432
wo men le 	我們了	c=1 d=1 t=5039
wo neng 	我能	c=2 d=1.00006 t=6175
wo qu 	我去	c=3 d=1 t=11947
wo que shi 	我確實	c=1 d=1 t=4644
wo ren wei 	我認爲	c=4 d=1.22203 t=8676
wo shang ci 	我上次	c=1 d=0.0230521 t=12432
wo shen shang 	我身上	c=1 d=1 t=11497
wo shi 	我是	c=9 d=0.535261 t=12432
wo shi bei 	我是被	c=1 d=1 t=9836
wo shi bu shi 	我是不是	c=1 d=1 t=3373
wo shi ge 	我是個	c=1 d=0.740818 t=12432
wo shi shi 	我試試	c=1 d=1 t=12309
wo shou ji 	我手機	c=2 d=1.00014 t=5866
wo shuo 	我說	c=2 d=1.03526 t=6271
wo shuo shi 	我說是	c=1 d=1 t=3119
wo wang le 	我忘了	c=3 d=1 t=8443
wo wei sha 	我爲啥	c=1 d=1 t=4647
wo wo bi 	我握筆	c=1 d=1 t=9682
wo wu fa 	我無法	c=1 d=1 t=11499
wo xi huan 	我喜歡	c=1 d=1 t=2594
wo xia 	我下	c=1 d=1 t=5093
wo xian 	我先	c=1 d=1 t=7502
wo xiang 	我想	c=4 d=1 t=11233
wo xiang you 	我想有	c=1 d=1 t=3614
wo xiao shi hou 	我小時候	c=1 d=1 t=1328
wo xie 	我寫	c=1 d=1 t=2135
wo xing fen 	我興奮	c=1 d=0.120633 t=12432
wo yao 	我要	c=3 d=0.0405589 t=12432
wo ye 	我也	c=9 d=0.0109701 t=12432
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=5462
wo ye dou 	我也都	c=1 d=1 t=4596
wo ye mei 	我也沒	c=2 d=1 t=9018
wo ye mei shuo 	我也沒說	c=1 d=0.110251 t=12432
wo ye shi 	我也是	c=3 d=0.017249 t=12432
wo yi bu bu 	我一步步	c=1 d=1 t=4510
wo yi hui 	我一會	c=1 d=1 t=12207
wo yi qian 	我以前	c=2 d=1 t=6921
wo yong 	我用	c=1 d=1 t=9509
wo yong yuan 	我永遠	c=1 d=1 t=9399
wo you 	我又	c=1 d=0.133989 t=12432
wo you 	我有	c=6 d=1.01244 t=6938
wo za 	我咋	c=2 d=1 t=6419
wo zai 	我再	c=1 d=1 t=6229
wo zai 	我在	c=7 d=0.506617 t=12432
wo zen me 	我怎麼	c=2 d=1.19889 t=2716
wo zhe 	我這	c=1 d=0.570011 t=11350
wo zhe dou 	我這都	c=1 d=1 t=1898
wo zhe jiu 	我這就	c=1 d=1 t=11351
wo zhe shi 	我這是	c=1 d=0.0593087 t=12432
wo zhen 	我真	c=1 d=1 t=5566
wo zhen de 	我真的	c=1 d=1 t=9915
wo zhen shi 	我真是	c=2 d=1 t=8846
wo zheng ge 	我整個	c=1 d=1 t=6509
wo zhi 	我只	c=0 d=0.00247235 t=12432
wo zhi dia 	我只嗲	c=1 d=1 t=3117
wo zhi fu ze 	我只負責	c=1 d=0.0248475 t=12432
wo zhi jie 	我直接	c=6 d=1.00016 t=6913
wo zhi neng 	我只能	c=1 d=1 t=8593
wo zhi xiang 	我只想	c=1 d=1 t=11705
wo zhu yao 	我主要	c=1 d=1 t=8943
wo zi ji 	我自己	c=5 d=0.224249 t=12432
wo zui ka de 	我最卡的	c=1 d=1 t=6589
wo zuo de 	我做的	c=1 d=0.17552 t=12432
wo zuo tian 	我昨天	c=1 d=1 t=6087
wu 	無	c=6 d=1.02462 t=12432
wu 	物	c=3 d=1 t=12192
wu 	誤	c=3 d=1 t=11781
wu bi 	無比	c=1 d=1 t=7255
wu fa 	無法	c=3 d=0.0463013 t=12432
wu fa yong 	無法用	c=1 d=0.465334 t=12432
wu fei 	無非	c=1 d=1 t=5243
wu gu 	無故	c=1 d=1 t=1675
wu gu 	無辜	c=1 d=1 t=8519
wu guan 	無關	c=0 d=0.1 t=10729
wu guan le 	無關了	c=1 d=1 t=10730
wu guan xi 	無關係	c=1 d=1 t=1690
wu han dui 	武漢隊	c=1 d=0.715338 t=12432
wu hu 	蕪湖	c=1 d=1 t=2574
wu hua 	物化	c=0 d=0.1 t=10905
wu li 	物理	c=1 d=1 t=2941
wu nai 	無奈	c=1 d=1 t=2417
wu nao 	無腦	c=1 d=1 t=11399
wu neng 	無能	c=1 d=1 t=2263
wu suo wei 	無所謂	c=0 d=0.1 t=5516
wu suo wei le 	無所謂了	c=1 d=1 t=5517
wu xian 	無限	c=1 d=1 t=7663
wu yi yi 	無意義	c=2 d=1 t=6366
wu yu 	物語	c=2 d=1.956 t=11977
wu yuan 	無緣	c=1 d=1 t=1674
wu zhi zhuan sheng 	無職轉生	c=1 d=1 t=5428
xi 	吸	c=3 d=0.245367 t=12432
xi 	希	c=1 d=0.246597 t=12432
xi 	西	c=2 d=0.244143 t=12432
xi 	錫	c=3 d=2.38408 t=3135
xi ai 	喜愛	c=1 d=1 t=7118
xi guan 	習慣	c=1 d=1 t=9210
xi huan 	喜歡	c=15 d=0.138174 t=12432
xi jie 	細節	c=1 d=1 t=10006
xi lan 	錫蘭	c=1 d=1 t=3223
xi lie 	系列	c=1 d=1 t=7972
xi tong 	系統	c=15 d=0.849684 t=12432
xi wang 	希望	c=1 d=1 t=7105
xia 	下	c=29 d=1.06012 t=12432
xia 	夏	c=1 d=1 t=9055
xia 	瞎	c=1 d=1 t=12056
xia ba 	下巴	c=1 d=0.0884781 t=12432
xia chang 	下場	c=1 d=1 t=6433
xia che 	瞎扯	c=1 d=1 t=8387
xia de 	下的	c=3 d=1 t=12085
xia ge 	下個	c=2 d=1 t=12286
xia guo 	下過	c=1 d=1 t=4811
xia hao 	下好	c=2 d=1 t=10924
xia hao le 	下好了	c=1 d=1 t=5106
xia jiang 	下降	c=1 d=1 t=10421
xia jiao 	下腳	c=1 d=1 t=4124
xia lai 	下來	c=1 d=1 t=2990
xia le 	下了	c=1 d=1 t=4544
xia lou 	下樓	c=1 d=1 t=11405
xia mian 	下面	c=1 d=1 t=10970
xia wan 	下完	c=1 d=0.585669 t=12432
xia wu 	下午	c=3 d=1.23224 t=12061
xia zai 	下載	c=3 d=0.492418 t=12432
xia zhou 	下週	c=1 d=1 t=10070
xia zi 	瞎子	c=1 d=1 t=6318
xian 	先	c=9 d=0.563628 t=12432
xian 	現	c=2 d=1.00942 t=12316
xian 	線	c=3 d=2.78787 t=3004
xian ba 	先把	c=1 d=1 t=9471
xian chang 	現場	c=1 d=1 t=4462
xian chu 	顯出	c=1 d=1 t=11269
xian dai 	現代	c=1 d=1 t=7896
xian de 	顯得	c=4 d=1.60206 t=11474
xian fa 	先發	c=1 d=0.0439369 t=12432
xian jian 	仙劍	c=1 d=1 t=4587
xian jue 	先決	c=1 d=1 t=3960
xian ka 	顯卡	c=4 d=1.00002 t=10871
xian kan 	先看	c=1 d=1 t=12336
xian lu 	線路	c=4 d=1.34899 t=12432
xian qu 	先去	c=2 d=1 t=4776
xian shen 	現身	c=1 d=0.0792617 t=12432
xian shi ping 	顯示屏	c=1 d=1 t=10014
xian tian 	先天	c=1 d=1 t=10164
xian xia 	線下	c=1 d=0.247833 t=12432
xian xiang 	現象	c=1 d=1 t=10734
xian xing 	現行	c=1 d=1 t=10269
xian yu 	鹹魚	c=5 d=0.690734 t=12432
xian zai 	現在	c=19 d=0.891366 t=12432
xian zhe 	賢哲	c=1 d=0.0642483 t=12432
xiang 	像	c=15 d=0.371025 t=12432
xiang 	向	c=2 d=0.0212797 t=12432
xiang 	想	c=18 d=0.136014 t=12432
xiang 	香	c=2 d=0.690734 t=12432
xiang de 	想得	c=1 d=1 t=11874
xiang fa 	想法	c=2 d=1 t=5066
xiang ge 	像個	c=1 d=1 t=9860
xiang ji 	相機	c=4 d=0.481909 t=12432
xiang jin 	想盡	c=1 d=1 t=2267
xiang jin ban fa 	想盡辦法	c=1 d=0.280832 t=12432
xiang kan 	想看	c=1 d=0.554327 t=12432
xiang qi 	想起	c=0 d=0.1 t=2698
xiang qi le 	想起了	c=2 d=1.97531 t=2704
xiang qing 	詳情	c=1 d=1 t=10183
xiang sha 	想啥	c=2 d=1.03956 t=9730
xiang sha ne 	想啥呢	c=1 d=1 t=4421
xiang shou 	享受	c=0 d=0.1 t=11322
xiang si 	想死	c=1 d=1 t=7112
xiang si 	相似	c=2 d=1 t=6851
xiang tu 	想吐	c=1 d=1 t=1762
xiang wan 	想玩	c=0 d=0.1 t=4615
xiang wan de hua 	想玩的話	c=1 d=1 t=4616
xiang wo 	向我	c=1 d=1 t=2187
xiang xiang 	想像	c=3 d=1 t=11986
xiang xiao 	想笑	c=1 d=1 t=10385
xiang ying 	相應	c=1 d=1 t=4056
xiang zhe 	想着	c=1 d=1 t=3092
xiang zhi dao 	想知道	c=1 d=1 t=1708
xiao 	小	c=16 d=0.650509 t=12432
xiao 	笑	c=7 d=0.519442 t=12432
xiao chou 	小丑	c=1 d=1 t=12131
xiao chu 	消除	c=1 d=1 t=12160
xiao er 	小兒	c=1 d=1 t=10568
xiao fei 	消費	c=2 d=0.140858 t=12432
xiao gui 	小鬼	c=5 d=1 t=11350
xiao guo 	效果	c=1 d=0.293758 t=12432
xiao hao 	小號	c=1 d=1 t=4959
xiao hei 	小黑	c=3 d=0.852144 t=12432
xiao jing 	孝敬	c=1 d=1 t=3309
xiao le 	小了	c=0 d=0.1 t=11667
xiao li 	效力	c=2 d=1 t=9912
xiao lv 	效率	c=1 d=0.0165727 t=12432
xiao mao 	小貓	c=1 d=1 t=11628
xiao mi 	小米	c=1 d=0.501576 t=12432
xiao quan zi 	小圈子	c=1 d=1 t=2046
xiao shi 	小時	c=1 d=1 t=12063
xiao shi hou 	小時候	c=2 d=1.37259 t=1624
xiao si 	笑死	c=8 d=1.37393 t=9777
xiao xi 	消息	c=7 d=1.00024 t=10772
xiao xian 	小鮮	c=1 d=1 t=10306
xiao yang 	小羊	c=2 d=1.99005 t=6878
xiao yu 	小魚	c=0 d=0.1 t=9111
xiao yu ban 	小魚板	c=1 d=1 t=9112
xiao zhang 	校長	c=1 d=0.327915 t=12432
xiao zhong 	小衆	c=3 d=2.79489 t=10487
xie 	些	c=9 d=0.145768 t=12432
xie 	寫	c=18 d=0.537944 t=12432
xie dao 	寫到	c=3 d=0.0465681 t=12432
xie de 	寫的	c=2 d=1 t=9826
xie le 	謝了	c=2 d=1 t=9564
xie lun 	血輪	c=1 d=1.05769 t=3150
xie lun yan 	血輪眼	c=1 d=1 t=3041
xie ne 	寫呢	c=1 d=1 t=3490
xie xie 	謝謝	c=8 d=1.51472 t=12432
xie xie ni 	謝謝你	c=1 d=1 t=5168
xie ya 	血壓	c=1 d=1 t=7304
xie zai 	卸載	c=1 d=1 t=3070
xie zuo ye 	寫作業	c=2 d=0.0368832 t=12432
xin 	心	c=2 d=1.99005 t=3728
xin 	新	c=4 d=1 t=11995
xin 	欣	c=1 d=1 t=6154
xin an li de 	心安理得	c=1 d=1 t=3971
xin chu 	新出	c=1 d=1 t=7326
xin de 	新的	c=1 d=1 t=9884
xin dong fang 	新東方	c=1 d=1 t=6916
xin gong neng 	新功能	c=1 d=1 t=3860
xin li 	心理	c=4 d=2.80446 t=9898
xin pian 	芯片	c=4 d=1.61965 t=3227
xin qing 	心情	c=1 d=1 t=11059
xin tai 	心態	c=3 d=1 t=8259
xin wen hua 	新文化	c=1 d=1 t=8529
xin xi 	信息	c=5 d=2.88599 t=11825
xin xian 	新鮮	c=1 d=1 t=2852
xing 	性	c=17 d=2.00864 t=10405
xing 	行	c=14 d=0.285076 t=12432
xing 	醒	c=1 d=1 t=4788
xing a 	行啊	c=3 d=1 t=10120
xing ba 	行吧	c=32 d=0.99416 t=12432
xing ba ke 	星巴克	c=1 d=1 t=8181
xing fen 	興奮	c=3 d=0.262621 t=12432
xing hao 	型號	c=1 d=1 t=11167
xing le 	行了	c=1 d=1 t=4633
xing neng 	性能	c=2 d=1 t=11176
xing qi 	興起	c=1 d=1 t=10497
xing qin 	性侵	c=1 d=1 t=1402
xing qu 	興趣	c=1 d=1 t=7447
xing qu xiang 	性取向	c=1 d=1 t=5068
xing shi 	形式	c=6 d=1 t=7296
xing wei 	行爲	c=4 d=2.56636 t=11480
xing wu 	醒悟	c=1 d=1 t=12014
xing zhi 	性質	c=3 d=2.28047 t=1641
xing zhi de 	性質的	c=2 d=1.24537 t=1670
xiong di 	兄弟	c=2 d=0.0939493 t=12432
xiong di men 	兄弟們	c=7 d=0.67368 t=12432
xiu 	修	c=5 d=1 t=9553
xiu chi 	羞恥	c=2 d=1.96561 t=2328
xiu hao 	修好	c=1 d=1 t=2925
xiu xi 	休息	c=2 d=1.20805 t=5003
xiu xian 	休閒	c=2 d=1.63128 t=3293
xiu xiu 	修修	c=1 d=1 t=3094
xu 	許	c=6 d=1.01357 t=8983
xu fei 	續費	c=1 d=1 t=8635
xu yao 	需要	c=13 d=0.261759 t=12432
xuan 	選	c=1 d=1 t=7728
xuan xie 	宣泄	c=1 d=1 t=11719
xuan yao 	炫耀	c=3 d=2.19211 t=3727
xuan ze 	選擇	c=1 d=1 t=5071
xuan zhong 	選中	c=1 d=1 t=9839
xuan zhuan 	旋轉	c=1 d=0.0893673 t=12432
xue 	學	c=4 d=0.511709 t=12432
xue de 	學的	c=1 d=1 t=2394
xue dian 	學點	c=0 d=0.1 t=5216
xue dian sha 	學點啥	c=1 d=1 t=5217
xue hui 	學會	c=1 d=1 t=11310
xue ji ka 	學籍卡	c=1 d=0.66034 t=12432
xue mei 	雪梅	c=1 d=1 t=7064
xue qi 	學期	c=1 d=1 t=1705
xue sheng 	學生	c=1 d=0.336216 t=12432
xue sheng ka 	學生卡	c=2 d=1.96561 t=8752
xue xi 	學習	c=5 d=2.9958 t=3308
xue xi ne 	學習呢	c=1 d=1 t=2555
xue xiao 	學校	c=1 d=1 t=3450
xun 	尋	c=1 d=1 t=2993
xun 	訊	c=1 d=1 t=9472
xun lian 	訓練	c=2 d=0.190139 t=12432
ya 	呀	c=3 d=1.88092 t=5112
ya 	壓	c=3 d=1.00046 t=10111
ya 	雅	c=1 d=1 t=4828
ya chuang 	牙牀	c=0 d=0.1 t=9901
ya gen 	壓根	c=1 d=1 t=8574
ya jing 	雅靜	c=2 d=1.02204 t=5900
ya li 	壓力	c=1 d=1 t=9891
yan 	眼	c=1 d=1.05741 t=3151
yan chi 	延遲	c=1 d=1 t=10986
yan jiu 	研究	c=1 d=0.794534 t=12432
yan lun 	言論	c=1 d=1 t=11528
yan se 	顏色	c=1 d=1 t=5413
yan shi 	掩飾	c=1 d=1 t=2710
yan shi 	演示	c=1 d=1 t=2708
yan xu 	延續	c=1 d=1 t=10137
yan yu 	言語	c=0 d=0.1 t=4948
yan yu hao 	言語好	c=1 d=1 t=4949
yan zhong 	嚴重	c=2 d=1 t=5553
yang 	楊	c=3 d=0.1 t=11759
yang 	樣	c=3 d=1.04076 t=8236
yang 	養	c=2 d=1.12619 t=12044
yang chang hui 	楊昌輝	c=1 d=1 t=11760
yang cong 	洋蔥	c=1 d=1 t=7841
yang de 	養的	c=1 d=1 t=9011
yang mao 	養貓	c=1 d=1 t=11635
yang mou 	楊某	c=1 d=1 t=1936
yang sheng qi 	揚聲器	c=1 d=1 t=4793
yang yang 	洋洋	c=1 d=1 t=6663
yang zi 	樣子	c=2 d=1.08315 t=11846
yao 	藥	c=1 d=1 t=5170
yao 	要	c=35 d=1.31747 t=12432
yao 	邀	c=2 d=1 t=11894
yao ba 	要把	c=1 d=0.987116 t=8515
yao ba wo 	要把我	c=1 d=1 t=7269
yao bu 	要不	c=2 d=1.00001 t=6225
yao bu shi 	要不是	c=2 d=1 t=11127
yao bu yao 	要不要	c=1 d=1 t=9462
yao cao 	藥草	c=1 d=1 t=10300
yao cong 	要從	c=2 d=1.11418 t=10738
yao de qian 	要的錢	c=1 d=1 t=11740
yao gan ma 	要幹嘛	c=1 d=1 t=2751
yao he 	要和	c=1 d=1 t=4860
yao huan 	要換	c=1 d=1 t=11125
yao kan 	要看	c=0 d=0.1 t=7976
yao me 	要麼	c=6 d=1.99005 t=7994
yao ni 	邀你	c=1 d=1 t=6163
yao qiu 	要求	c=1 d=0.179066 t=12432
yao qu 	要去	c=0 d=0.00655462 t=12432
yao rang 	要讓	c=1 d=1 t=10404
yao xue 	要學	c=0 d=0.1 t=11304
yao xue hui 	要學會	c=1 d=1 t=11305
yao yong 	要用	c=1 d=1 t=6779
yao you 	要有	c=0 d=0.1 t=11298
yao zai 	要在	c=1 d=1 t=8180
yao zhen de 	要真的	c=1 d=1 t=10440
yao zi 	腰子	c=1 d=0.075774 t=12432
yao zuo de 	要做的	c=1 d=0.0812682 t=12432
ye 	也	c=18 d=0.571209 t=12432
ye 	業	c=1 d=1 t=8188
ye 	爺	c=1 d=0.0611149 t=12432
ye 	頁	c=1 d=1 t=3501
ye bu 	也不	c=0 d=0.196561 t=3705
ye bu hui 	也不會	c=1 d=1 t=6467
ye bu nan 	也不難	c=1 d=1 t=11298
ye bu shi 	也不是	c=7 d=1 t=9928
ye bu shuo 	也不說	c=1 d=1 t=3706
ye bu yi ding 	也不一定	c=1 d=1 t=3699
ye bu yong 	也不用	c=1 d=1 t=11291
ye bu yuan 	也不願	c=1 d=1 t=2518
ye bu zhi dao 	也不知道	c=1 d=1 t=1533
ye dou 	也都	c=0 d=0.1 t=4595
ye hai 	也還	c=0 d=0.1 t=6472
ye hai shi 	也還是	c=1 d=1 t=6473
ye hao 	也好	c=1 d=0.0143357 t=12432
ye hen 	也很	c=1 d=1 t=2416
ye hui 	也會	c=0 d=0.1 t=6792
ye jiu 	也就	c=9 d=1.00001 t=11916
ye ke 	也可	c=1 d=0.337902 t=12432
ye ke neng 	也可能	c=1 d=1 t=1812
ye ke yi 	也可以	c=3 d=1 t=10136
ye mei 	也沒	c=1 d=1 t=3921
ye mei you 	也沒有	c=1 d=1 t=6481
ye mian 	頁面	c=3 d=0.786628 t=12432
ye neng 	也能	c=2 d=0.0450492 t=12432
ye neng yong 	也能用	c=1 d=1 t=5946
ye shi 	也是	c=18 d=2.53387 t=12150
ye suan 	也算	c=1 d=1 t=11531
ye tai 	也太	c=1 d=1 t=1277
ye wu 	業務	c=1 d=1 t=6973
ye xiang 	也像	c=1 d=1 t=9813
ye xing 	也行	c=2 d=1.0009 t=6490
ye xu 	也許	c=8 d=1 t=11498
ye xu shi 	也許是	c=1 d=1 t=2103
ye xu yao 	也需要	c=1 d=1 t=8291
ye yao 	也要	c=1 d=1 t=9982
ye you 	也有	c=2 d=1.64404 t=10736
yi 	一	c=18 d=0.16696 t=12432
yi 	以	c=11 d=0.369723 t=12432
yi 	伊	c=1 d=1 t=12165
yi 	億	c=6 d=0.231078 t=12432
yi 	已	c=2 d=1.23693 t=4657
yi 	易	c=1 d=1 t=7823
yi ban 	一半	c=1 d=1 t=7308
yi ban 	一般	c=3 d=0.499074 t=12432
yi ban bu kan 	一般不看	c=1 d=1 t=5422
yi ban de 	一般的	c=1 d=1 t=1516
yi bi 	一筆	c=0 d=0.0037068 t=12432
yi bi mei dong 	一筆沒動	c=1 d=0.0372538 t=12432
yi bian 	一遍	c=2 d=1.00006 t=12319
yi bian 	一邊	c=0 d=0.1 t=6942
yi bo 	一波	c=1 d=1 t=6076
yi bu 	一步	c=3 d=1.00006 t=8982
yi bu 	一部	c=2 d=1.00001 t=9874
yi bu bu 	一步步	c=0 d=0.1 t=4509
yi ceng 	一層	c=2 d=1.52729 t=6093
yi chang 	一場	c=1 d=1 t=2919
yi ci 	一次	c=1 d=0.302704 t=12432
yi da 	一大	c=1 d=1 t=2087
yi da dui 	一大堆	c=1 d=1 t=6699
yi dai 	一代	c=1 d=1 t=7009
yi dao 	一道	c=1 d=1 t=9832
yi dian 	一點	c=6 d=1.44264 t=11994
yi ding 	一定	c=3 d=0.0193112 t=12432
yi dong 	移動	c=1 d=1 t=8819
yi du 	一度	c=1 d=1 t=2960
yi duan 	一段	c=1 d=1 t=10823
yi dui 	一堆	c=3 d=0.120032 t=12432
yi dui 	一對	c=2 d=1.44709 t=9956
yi dui ren 	一堆人	c=2 d=1.90937 t=6068
yi dun 	一頓	c=1 d=1 t=11040
yi fan 	一番	c=1 d=0.0731678 t=12432
yi ge 	一個	c=68 d=1.09294 t=12432
yi ge ba 	一個吧	c=1 d=1 t=6231
yi ge ge 	一個個	c=2 d=0.161218 t=12432
yi ge ren 	一個人	c=4 d=0.529935 t=12432
yi ge yue 	一個月	c=2 d=1.00073 t=7379
yi gong 	一共	c=1 d=1 t=1877
yi hou 	以後	c=1 d=1 t=3968
yi hui 	一會	c=1 d=0.1 t=12206
yi ji 	一集	c=2 d=1.32142 t=7300
yi ji 	以及	c=21 d=1.40137 t=12432
yi ji 	遺蹟	c=1 d=0.0875977 t=12432
yi jian 	一件	c=1 d=1 t=11487
yi jian shi 	一件事	c=1 d=1 t=10348
yi jing 	已經	c=3 d=1.03508 t=7640
yi jing 	易經	c=1 d=1 t=11511
yi kuai 	一塊	c=0 d=0.1 t=3099
yi kuan 	一款	c=3 d=1.0146 t=7976
yi lai 	以來	c=1 d=1 t=6090
yi liao 	意料	c=1 d=1 t=7205
yi nian 	一年	c=1 d=1 t=9917
yi qi 	一起	c=11 d=1.65686 t=9858
yi qi a 	一起啊	c=1 d=1 t=5856
yi qian 	以前	c=4 d=1.00712 t=10186
yi qie 	一切	c=6 d=1 t=11314
yi qiu 	以求	c=1 d=1 t=4370
yi qun 	一羣	c=3 d=0.477951 t=12432
yi ran 	依然	c=1 d=1 t=7906
yi shang 	以上	c=1 d=0.644036 t=12432
yi sheng 	一生	c=1 d=0.852144 t=12432
yi sheng 	一聲	c=1 d=1 t=9789
yi sheng 	醫生	c=1 d=1 t=2346
yi shi 	一時	c=1 d=1 t=4439
yi shuo 	一說	c=1 d=1 t=10488
yi si 	意思	c=5 d=1 t=11236
yi si shi 	意思是	c=1 d=0.238069 t=8895
yi si si 	一絲絲	c=1 d=1 t=8302
yi sou 	一搜	c=1 d=1 t=4883
yi tian 	一天	c=4 d=0.0411415 t=12432
yi tu 	意圖	c=1 d=1 t=2598
yi tuo 	一拖	c=1 d=1 t=2501
yi wai 	以外	c=1 d=1 t=6664
yi wai 	意外	c=3 d=3.06381 t=7208
yi wai zhong 	意外中	c=1 d=1 t=7196
yi wei 	以爲	c=4 d=1 t=9273
yi wei 	意味	c=1 d=1 t=10002
yi wei zhe 	意味着	c=0 d=0.1 t=6736
yi wen 	疑問	c=3 d=2.00269 t=1636
yi xia 	一下	c=9 d=1.02355 t=11805
yi xia 	以下	c=2 d=1.73712 t=9493
yi xie 	一些	c=7 d=1.67368 t=11501
yi xing lian 	異性戀	c=3 d=2.06349 t=10555
yi yang 	一樣	c=15 d=1.54299 t=12432
yi yi 	意義	c=16 d=0.064565 t=12432
yi yi duo 	意義多	c=1 d=1 t=8353
yi yuan 	一元	c=1 d=1 t=9225
yi yun 	依雲	c=1 d=1 t=9637
yi zhi 	一直	c=17 d=0.0177743 t=12432
yi zhi 	一隻	c=1 d=1 t=2804
yi zhi bei 	一直被	c=1 d=1 t=10548
yi zhong 	一種	c=3 d=0.380983 t=12432
yi zi 	椅子	c=1 d=1 t=2077
yin cang 	隱藏	c=3 d=0.1764 t=12432
yin cha 	飲茶	c=1 d=0.101588 t=11373
yin cha xian 	飲茶先	c=1 d=1 t=11374
yin dao 	引導	c=1 d=0.158025 t=12432
yin du ren 	印度人	c=1 d=1 t=9854
yin fa 	引發	c=3 d=1 t=11592
yin hao 	引號	c=2 d=1 t=9820
yin jian 	陰間	c=1 d=0.0963276 t=12432
yin meng 	銀夢	c=1 d=1 t=2475
yin pin 	音頻	c=1 d=1 t=8032
yin qing 	引擎	c=1 d=1 t=7633
yin si 	隱私	c=11 d=0.327915 t=12432
yin su 	因素	c=2 d=1 t=10413
yin ti 	引體	c=1 d=1 t=7499
yin wei 	因爲	c=20 d=0.688129 t=12432
yin wei ta 	因爲它	c=4 d=3.89263 t=5783
yin xiao 	音效	c=1 d=1 t=8755
yin yang ren 	陰陽人	c=1 d=1 t=4855
yin ying 	陰影	c=1 d=1 t=4584
yin yong 	引用	c=2 d=1 t=12327
yin yong xia 	引用下	c=1 d=1 t=1908
yin yue 	音樂	c=1 d=1 t=3075
ying 	應	c=0 d=0.1 t=7025
ying gai 	應該	c=17 d=1.23122 t=10455
ying gai neng 	應該能	c=1 d=1 t=9242
ying gai shi 	應該是	c=1 d=1 t=3798
ying jian 	硬件	c=1 d=1 t=12186
ying lai 	迎來	c=1 d=1 t=5817
ying li 	盈利	c=1 d=0.287942 t=12432
ying li le 	應離了	c=1 d=1 t=7026
ying pan 	硬盤	c=1 d=1 t=7952
ying shi 	影視	c=2 d=1.44043 t=7292
ying wu 	鸚鵡	c=1 d=0.0566989 t=12432
ying xiang 	影響	c=1 d=1 t=9313
ying xiao 	營銷	c=1 d=1 t=8169
ying xiao hao 	營銷號	c=1 d=1 t=1596
ying yong 	應用	c=5 d=1 t=11208
ying yu 	英語	c=6 d=0.0217096 t=12432
yo 	喲	c=2 d=1 t=10769
yong 	永	c=1 d=1 t=4432
yong 	用	c=36 d=1.03829 t=12432
yong bei 	用被	c=1 d=1 t=6269
yong bu liao 	用不了	c=2 d=0.157237 t=12432
yong bu yong 	用不用	c=0 d=0.1 t=8750
yong bu yong dai 	用不用帶	c=1 d=1 t=8751
yong de 	用的	c=7 d=0.0773047 t=12432
yong de shi 	用的是	c=2 d=1.90484 t=3842
yong de zhao 	用得着	c=1 d=1 t=10444
yong guo 	用過	c=1 d=0.0293049 t=12432
yong hao 	勇浩	c=1 d=1 t=4431
yong hu 	用戶	c=5 d=2.35459 t=11587
yong jiu 	永久	c=1 d=1 t=4562
yong lai 	涌來	c=1 d=1 t=10319
yong lai 	用來	c=2 d=1.0825 t=10819
yong le 	用了	c=1 d=1 t=3036
yong li 	用力	c=1 d=1 t=2820
yong shou ji 	用手機	c=1 d=1 t=12094
yong you 	擁有	c=2 d=1.00003 t=9768
yong yuan 	永遠	c=8 d=1.00052 t=10907
yong zhe 	用着	c=3 d=1 t=11113
yong zhe yong zhe 	用着用着	c=1 d=1 t=6517
yong zhong 	臃腫	c=1 d=1 t=6501
